StudentID,Name,Age,Gender,Degree,Specialization,GPA,PlacementStatus,PlacementCompany,JobRole,PlacementSalary(LPA),InternshipExperience,ExtraCurricularActivities,CommunicationSkills
S0001,Student_1,20,Female,BBA,Operations,6.88,No,,,,No,Low,Excellent
S0002,Student_2,21,Male,BBA,International Business,6.32,Yes,Microsoft,Research Scientist,7.2,Yes,Low,Excellent
S0003,Student_3,20,Male,M.Tech,Structural Engineering,8.27,Yes,Google,Data Analyst,11.6,No,Low,Average
S0004,Student_4,25,Female,B.Tech,Mechanical,7.03,No,,,,Yes,Low,Average
S0005,Student_5,22,Male,MBA,Marketing,7.14,No,,,,Yes,High,Excellent
S0006,Student_6,21,Male,BBA,Entrepreneurship,8.88,No,,,,Yes,High,Average
S0007,Student_7,21,Female,MBA,HR,7.55,No,,,,No,High,Excellent
S0008,Student_8,22,Male,MBA,HR,7.23,Yes,Infosys,Consultant,7.1,Yes,Medium,Good
S0009,Student_9,24,Male,MBA,Finance,8.95,No,,,,Yes,Low,Excellent
S0010,Student_10,22,Female,BBA,Operations,6.04,No,,,,No,High,Excellent
S0011,Student_11,23,Male,BBA,Entrepreneurship,7.55,Yes,Accenture,Research Scientist,24.2,Yes,Medium,Excellent
S0012,Student_12,23,Other,MBA,Finance,7.84,No,,,,Yes,Medium,Excellent
S0013,Student_13,22,Female,MBA,Marketing,7.96,Yes,Google,Project Manager,6.3,No,High,Good
S0014,Student_14,25,Other,BBA,Entrepreneurship,6.38,No,,,,No,Medium,Average
S0015,Student_15,20,Female,BBA,International Business,9.42,Yes,Infosys,Software Engineer,14.2,Yes,Low,Good
S0016,Student_16,24,Other,B.Sc,Biology,6.46,No,,,,No,Medium,Good
S0017,Student_17,22,Female,MBA,Marketing,8.51,Yes,Accenture,Data Analyst,14.4,Yes,Low,Good
S0018,Student_18,20,Female,B.Tech,Civil,7.42,No,,,,Yes,Medium,Excellent
S0019,Student_19,21,Male,MBA,HR,8.99,Yes,Amazon,Consultant,9.3,Yes,Medium,Excellent
S0020,Student_20,21,Other,MBA,HR,7.9,Yes,Accenture,Project Manager,16.5,No,Low,Average
S0021,Student_21,21,Male,M.Tech,AI,6.29,Yes,Accenture,Consultant,15.0,Yes,Medium,Good
S0022,Student_22,21,Male,B.Tech,Computer Science,8.12,No,,,,Yes,Medium,Good
S0023,Student_23,21,Female,M.Tech,AI,9.61,Yes,Deloitte,Data Analyst,22.9,No,Medium,Average
S0024,Student_24,21,Other,M.Tech,Robotics,6.36,Yes,Microsoft,Project Manager,3.4,No,Low,Excellent
S0025,Student_25,25,Female,B.Sc,Biology,6.0,No,,,,No,Low,Good
S0026,Student_26,25,Male,B.Sc,Mathematics,8.42,Yes,Accenture,Project Manager,15.4,Yes,Low,Excellent
S0027,Student_27,22,Other,BBA,Operations,9.99,Yes,Infosys,Project Manager,10.9,No,Medium,Good
S0028,Student_28,24,Other,M.Tech,Structural Engineering,6.83,No,,,,Yes,Medium,Good
S0029,Student_29,22,Other,B.Sc,Biology,9.34,Yes,Deloitte,Data Analyst,17.4,No,Medium,Average
S0030,Student_30,22,Male,B.Sc,Physics,8.19,No,,,,Yes,Low,Average
S0031,Student_31,21,Female,M.Tech,Structural Engineering,9.83,No,,,,No,High,Average
S0032,Student_32,21,Male,M.Tech,Robotics,8.69,No,,,,No,Medium,Excellent
S0033,Student_33,22,Male,M.Tech,Robotics,8.31,Yes,Infosys,Research Scientist,3.1,No,Medium,Good
S0034,Student_34,22,Other,MBA,HR,9.35,No,,,,No,High,Excellent
S0035,Student_35,25,Other,B.Sc,Mathematics,6.29,Yes,Wipro,Research Scientist,5.2,No,Low,Good
S0036,Student_36,22,Other,BBA,Entrepreneurship,7.75,No,,,,Yes,Low,Excellent
